Account_Number;Account_Type;Account_Name;Account_Address;City;State_Code;FA_Code
6658;Roth IRA;Chester Hayes;7089 San Marcos;Providence;MD;IN07
6834;Joint;Richard Truman;7330 El Camino Real;Salem;TN;NV01
6875;Trust;Theodore Arthur;8566 Carpinteria South;Columbus;RI;AU08
7321;Joint;Woodrow Washington;57 Corona Del Mar;Augusta;ID;OK03
7633;Joint;Franklin Quincy;9639 French Camp Turnpike Road;Lincoln;RI;SL08
7726;Trust;George Carter;2387 Carpinteria Avenue;Providence;NC;DT01
7743;Roth IRA;Benjamin Johnson;6600 South Roosevelt Drive;Carson City;MS;NY06
7837;Roth IRA;Warren Reagan;3873 Westside Freeway;Hartford;PA;DA01
7935;Joint;James Johnson;1869 Hutchinson Rd;Richmond;CT;SL01
7945;Joint;Ronald Nixon;7743 North Broadway Street;Helena;OR;VE03
8454;Single;Herbert Garfield;2737 North Atherton Street;Boston;NY;OK06
8493;Trust;Calvin Washington;5921 Hutchinson Rd;Pierre;CO;LA01
8526;401K;Harry Nixon;7904 Erringer Road;Atlanta;NJ;OK04
8549;IRA;Benjamin Fillmore;9712 North Atherton Street;Harrisburg;MT;NY01
8913;Roth IRA;Benjamin Eisenhower;2357 Monroe Street;Jefferson City;IN;AU09
8929;Trust;Herbert Reagan;1308 Monroe Street;Salt Lake City;ID;NO01
8992;401K;Bill Coolidge;9544 San Luis Obispo North;Helena;NV;SE04
9014;401K;Ronald Harding;3246 Newbury Road;Baton Rouge;DE;PX03
9088;Single;Calvin Hayes;795 Katella Avenue;Raleigh;AL;SL01
9301;401K;Grover Lincoln;8877 Fontaine Road;Salt Lake City;WY;NV06
9464;Trust;Franklin Johnson;4419 Cabrillo Highway;Dover;SC;NO01
9478;Joint;Chester Ford;2405 East Fry Blvd.;Honolulu;AL;MD03
10108;401K;Gerald Madison;2427 Pacific Hwy S;Helena;KS;NY01
10163;Single;Rutherford Fillmore;607 S Rustle St;Columbia;CO;SE01
10310;401K;Richard Reagan;212 Jean de la Fontaine;Raleigh;IA;NY01
10512;401K;Herbert Clinton;8416 Santa Rosa South;Sacramento;MA;MI01
10516;Joint;Rutherford Van Buren;7052 Lawrenceville Suwanee;Salt Lake City;ME;NY04
10564;Trust;Richard Truman;5200 Cleveland Ave.;Boise;CO;LA01
10601;Single;George Madison;6655 Via Real;Little Rock;AK;NO01
10826;401K;Ulysses Jackson;4731 Redwood Highway;Boise;TX;BO01
10935;Joint;Jimmy Adams;14 Santa Ana Freeway;Atlanta;AK;CL05
10967;IRA;Warren Madison;3696 Via Real;Dover;NE;DT01
11102;Joint;Gerald Eisenhower;6355 East Calle Primera;Lincoln;DE;SL01
11291;IRA;Millard Quincy;5794 Padre Boulevard;Springfield;AR;CH09
11702;Single;James Clinton;5320 Hutchinson Rd;Indianapolis;AR;SL01
11929;401K;Andrew McKinley;1795 French Camp Turnpike Road;Oklahoma City;ID;NY02
12266;Roth IRA;Harry Johnson;1670 North Ventu Park Road;Atlanta;VA;SE06
12445;Trust;James Fillmore;9369 Lindbergh Blvd;Olympia;CO;VE04
12789;Single;Herbert Roosevelt;2237 Fontaine Road;Boise;MS;SE01
13137;Roth IRA;James Buchanan;6824 Fontaine Road;Saint Paul;NM;PO07
13352;401K;Abraham Harding;2204 N Kentwood;Salem;AR;NO01
13414;IRA;William Truman;2617 Harry S Truman Blvd;Lincoln;NC;PX09
13455;Single;Theodore Kennedy;6456 Camelback Rd;Atlanta;ME;NV02
13503;IRA;Herbert Madison;6839 Grandview Drive;Santa Fe;AZ;CL08
13547;401K;Zachary Johnson;835 Hutchinson Rd;Lansing;KY;NY01
13657;Roth IRA;Martin Truman;9040 North Preisker Lane;Honolulu;KS;SL09
13660;IRA;Theodore Van Buren;4480 Moreno Drive;Jackson;WA;LA07
13667;Roth IRA;John Pierce;5550 Calle Real;Columbus;NC;SL01
13689;IRA;Harry Wilson;8542 Lawrenceville Suwanee;Albany;NC;DA08
13788;IRA;Calvin Hoover;5689 Burnett Road;Helena;AZ;LA01
13824;IRA;Theodore Cleveland;3567 Tanger Blvd;Des Moines;HI;NO02
13838;401K;Woodrow Pierce;1218 Jones Road;Richmond;IN;LA01
13857;401K;Ronald Hayes;1706 East 1st Street;Frankfort;KS;SE01
13982;Single;Herbert Wilson;1500 Harbor Dr;Charleston;IA;NO02
14324;Single;Richard Garfield;7865 Camelback Rd;Phoenix;LA;SE01
14536;Joint;William Pierce;7461 Lawrenceville Suwanee;Raleigh;AZ;CH07
14679;IRA;Harry Harding;4002 S Rustle St;Lincoln;MI;CL05
14713;Trust;Calvin Lincoln;705 French Camp Turnpike Road;Baton Rouge;DE;LA01
14846;401K;Bill Wilson;7902 Hutchinson Rd;Boston;MN;PX01
14995;401K;William Adams;2762 Hutchinson Rd;Des Moines;MA;NV04
15025;IRA;Herbert Jefferson;273 San Diego Freeway;Augusta;PA;DA04
15132;IRA;Franklin Harrison;2190 Camelback Rd;Springfield;MI;PO03
15297;IRA;William Grant;7089 Santa Rosa South;Concord;ME;DT01
15322;Roth IRA;Benjamin Washington;3824 N Harrison St;Bismarck;CT;NO09
15353;Single;Millard Hoover;1841 Harry S Truman Blvd;Columbia;WY;SL01
15510;Trust;Jimmy Tyler;3616 W. Russell St.;Sacramento;CO;LA05
15541;IRA;Herbert Jefferson;5510 French Camp Turnpike Road;Pierre;MI;DT01
15548;Roth IRA;Lyndon Johnson;338 French Camp Turnpike Road;Denver;MS;CL02
15780;IRA;Abraham Adams;8556 Santa Monica Road;Atlanta;CT;LA01
15831;Joint;Rutherford Jackson;5504 Erringer Road;Raleigh;LA;LA01
15923;IRA;Benjamin Johnson;2686 Santa Monica Road;Baton Rouge;KS;SE04
15947;IRA;Franklin Hoover;4108 East 1st Street;Des Moines;MD;NV01
16237;401K;Lyndon Roosevelt;9015 East 1st Street;Little Rock;WA;OK06
16246;Roth IRA;Gerald McKinley;8649 Santa Rosa South;Bismarck;MD;NO05
16279;IRA;Thomas Buchanan;7388 Apalachee Parkway;Boise;AK;PO01
16362;Joint;Ronald Tyler;4992 N Harrison St;Raleigh;IN;MN04
16502;Joint;Ulysses Arthur;1823 Monroe Street;Helena;MD;MN05
16546;IRA;Grover Ford;2336 San Diego Freeway;Austin;ND;LA01
16590;Roth IRA;Chester Jefferson;9374 Castillo Drive;Albany;WV;NO07
16631;Single;James Eisenhower;3218 North Erringer Road;Santa Fe;RI;PX03
16704;Single;Zachary Roosevelt;5678 Carpinteria South;Oklahoma City;AL;MN02
16717;Trust;Benjamin Wilson;783 S Rustle St;Little Rock;AR;DA04
16866;Single;James Quincy;9591 Carpinteria North;Topeka;MD;DA05
17043;Roth IRA;Warren Fillmore;2029 Greenwood Road;Augusta;HI;SL01
17052;Trust;Calvin Clinton;5665 Santa Monica Road;Hartford;NV;DT06
17168;401K;Benjamin Reagan;7122 East 1st Street;Topeka;WA;LA01
17276;Trust;Bill Pierce;6952 San Ysidro Blvd;Jackson;FL;PX01
17369;Roth IRA;Dwight Harrison;8940 Monroe Street;Dover;MA;CH05
17433;401K;Grover Polk;9191 Lawrenceville Suwanee;Nashville;FL;LA02
17537;Roth IRA;Chester Washington;7710 Cleveland Ave.;Austin;ID;SE01
17639;Trust;William Ford;6139 Harry S Truman Blvd;Augusta;SD;AU08
17860;Single;Rutherford Garfield;3717 Monroe Street;Helena;PA;PX06
18087;Single;James Hayes;9805 Moreno Drive;Des Moines;MT;PX01
18161;Roth IRA;Ronald Taylor;6797 Katella Avenue;Jefferson City;MN;CH09
18176;IRA;Andrew Wilson;6635 Richmond Hill;Salem;ME;LA05
18240;Roth IRA;Jimmy McKinley;1436 North Atherton Street;Dover;IA;MN01
18267;Joint;Ulysses McKinley;5591 W. Russell St.;Santa Fe;AR;BO06
18278;401K;Millard Roosevelt;8039 Corona Del Mar;Jefferson City;NE;SE08
18280;Joint;Herbert Arthur;7824 North Ventu Park Road;Harrisburg;AR;DE03
18317;401K;Franklin Buchanan;3863 Carpinteria North;Denver;IL;LA01
18566;401K;Richard Cleveland;1059 North Atherton Street;Augusta;SC;SE01
18869;Single;Franklin Hayes;1758 Bowles Avenue;Atlanta;WI;NY01
18996;Trust;Herbert Kennedy;2328 Lindbergh Blvd;Augusta;RI;AU01
18997;Single;Grover Coolidge;6835 East Fry Blvd.;Topeka;MN;LA01
19142;Roth IRA;Benjamin Madison;8165 North Preisker Lane;Santa Fe;CT;CL04
19152;Joint;Gerald Hoover;1805 East Calle Primera;Boston;NC;CH07
19256;Roth IRA;Thomas Coolidge;4013 Carpinteria Avenue;Frankfort;ME;PO04
19320;Single;Gerald Pierce;2359 Santa Rosa South;Honolulu;OR;IN03
19382;Joint;Lyndon Clinton;3796 Cerrillos Road;Salem;VT;MD08
19477;Roth IRA;Zachary Garfield;8434 Camelback Rd;Trenton;ND;CL04
19532;Single;Theodore Cleveland;2698 Santa Rosa South;Nashville;WV;LA01
19623;Single;Bill Reagan;7465 Cleveland Ave.;Nashville;IA;IN04
19757;Joint;Abraham Clinton;1355 Timberlane Drive;Lansing;MD;MN01
19860;Joint;Martin Adams;4110 North Erringer Road;Tallahassee;FL;CL01
19961;Joint;Calvin Wilson;2478 Hutchinson Rd;Dover;AK;DA08
20002;Roth IRA;Chester Kennedy;7224 Redwood Highway;Salt Lake City;MA;NV02
20075;Roth IRA;Lyndon Johnson;8429 Carpinteria North;Dover;UT;SL08
20078;401K;Warren Polk;2621 Pacific Hwy S;Salem;UT;NV07
20272;Joint;George Wilson;1532 East Fry Blvd.;Austin;UT;CL05
20435;Trust;Dwight Jefferson;1933 East 1st Street;Juneau;OR;MI03
20594;401K;Rutherford Garfield;8786 Carpinteria Avenue;Santa Fe;NM;SL01
20662;Roth IRA;George Wilson;6137 Monroe Street;Denver;OR;CL08
20678;Roth IRA;Andrew Taylor;1898 Erringer Road;Raleigh;AR;DE06
20703;Roth IRA;Gerald Monroe;9782 Corona Del Mar;Salt Lake City;NV;SL01
20710;Trust;Ronald Quincy;342 Harbor Dr;Carson City;KY;OK03
20766;IRA;Franklin Pierce;3541 E Fowler Avenue;Hartford;NC;PX05
20956;Joint;Thomas Pierce;6298 San Diego Freeway;Honolulu;VT;LA01
21103;IRA;Ronald Washington;4386 East 1st Street;Juneau;SD;NY08
21160;401K;Ulysses Roosevelt;4846 East Fry Blvd.;Salem;NJ;CH04
21372;Joint;Jimmy Harrison;4098 Castillo Drive;Columbus;MO;DT04
21495;Single;Bill McKinley;9024 Newbury Road;Montgomery;FL;MI03
21611;Trust;Theodore Van Buren;1482 Santa Monica Road;Charleston;WA;CH01
21642;401K;Lyndon Quincy;1358 Tanger Blvd;Jefferson City;HI;SL02
21651;Trust;Dwight Roosevelt;6617 Carpinteria South;Juneau;ND;DA04
21855;Single;Calvin Adams;7011 Tully Road East;Boise;MO;MI01
21870;Trust;Gerald Hayes;205 Monroe Street;Columbus;AL;NY01
22178;Roth IRA;William Madison;612 Steele Lane;Springfield;MI;NY01
22268;401K;Chester Reagan;8688 North Ventu Park Road;Carson City;MS;MI04
22310;Trust;Ronald Coolidge;9693 Carpinteria Avenue;Carson City;RI;DT01
22496;Single;Ronald Harding;3942 Castillo Drive;Saint Paul;WV;DE01
22579;Trust;Bill Coolidge;7630 Katella Avenue;Honolulu;CT;SE04
22582;Single;Lyndon Harding;9005 East Main Street;Hartford;MA;PX03
22643;Trust;Dwight Johnson;9154 Burnett Road;Topeka;VT;NO01
22696;Joint;Calvin Adams;1762 Westside Freeway;Springfield;NJ;MI01
22697;Joint;Abraham Kennedy;5763 East Fry Blvd.;Phoenix;OR;NV01
22758;IRA;Theodore Grant;6270 Carpinteria North;Des Moines;MD;DT02
22866;IRA;Martin Cleveland;2461 Lake Tahoe Blvd.;Boise;MD;SL01
22958;401K;James Quincy;3131 North Preisker Lane;Boston;NY;CL04
23036;IRA;Herbert Jackson;2677 Erringer Road;Oklahoma City;VT;PX01
23055;401K;Abraham Taft;9302 East 1st Street;Tallahassee;NE;CH06
23062;Trust;Grover Fillmore;9305 San Marcos;Boston;MD;PX01
23068;Joint;Ulysses Madison;2924 French Camp Turnpike Road;Concord;OK;CH01
23081;Single;James Quincy;1098 South Roosevelt Drive;Augusta;GA;IN07
23155;IRA;Millard Roosevelt;424 North Erringer Road;Olympia;TX;MI01
23204;Roth IRA;Dwight Nixon;9356 Westside Freeway;Harrisburg;RI;DA01
23445;401K;Ulysses Quincy;2325 Tully Road East;Des Moines;AR;MD02
23731;Trust;Dwight Quincy;6826 Carpinteria North;Atlanta;MD;SL01
23804;Roth IRA;William Taylor;6681 San Diego Freeway;Bismarck;MI;NY01
23838;Single;William Roosevelt;9235 Steele Lane;Cheyenne;LA;NO02
23960;401K;Gerald Hoover;6733 W. Russell St.;Columbia;NY;SL08
23971;Single;Chester Carter;896 Bailard Avenue;Topeka;TX;MN01
24220;Roth IRA;Dwight Clinton;2635 N Harrison St;Oklahoma City;MT;DE04
24265;Trust;George Hayes;6810 Santa Monica Road;Hartford;MT;NY01
24323;Single;Dwight Adams;2167 North Preisker Lane;Baton Rouge;AZ;MI09
24476;401K;Woodrow Garfield;5814 Jones Road;Frankfort;VT;BO09
24835;Roth IRA;Richard Van Buren;5584 El Camino Real;Concord;PA;NV08
24853;401K;John Hayes;5704 El Camino Real;Olympia;NE;IN05
24924;Joint;Andrew Harrison;7069 Santa Monica Road;Bismarck;MT;PX02
25308;IRA;Andrew Taylor;4074 North Erringer Road;Denver;MI;MI04
25463;401K;Herbert Cleveland;8221 French Camp Turnpike Road;Springfield;ID;NO05
25484;Single;Lyndon Roosevelt;2542 North Erringer Road;Oklahoma City;UT;SL03
25502;Roth IRA;John Clinton;3606 San Luis Obispo North;Jackson;MT;NO01
25668;Trust;John Garfield;2595 Redwood Highway;Madison;LA;DT01
25728;Single;Rutherford Washington;3526 Redwood Highway;Madison;NY;AU06
25819;IRA;Calvin Clinton;6235 El Camino Real;Nashville;AR;LA01
25860;401K;Martin Jefferson;8857 Bayshore Freeway;Phoenix;CO;NV08
26160;401K;Millard Wilson;2371 North Ventu Park Road;Des Moines;WV;DE02
26189;Roth IRA;Andrew Clinton;7928 Fontaine Road;Lincoln;CO;BO03
26192;Joint;Lyndon Carter;7172 Redwood Highway;Jefferson City;UT;SE01
26209;IRA;Andrew Fillmore;6756 East Main Street;Springfield;ID;VE01
26230;Trust;Lyndon Madison;4630 Grandview Drive;Little Rock;VT;PX04
26308;401K;Theodore Harrison;7186 Bailard Avenue;Des Moines;SC;PX01
26640;IRA;George Tyler;5146 East Fry Blvd.;Hartford;OH;VE03
26712;IRA;Millard McKinley;1854 Timberlane Drive;Saint Paul;PA;MI05
26743;Joint;George Ford;9738 S Rustle St;Boston;NJ;CL05
26793;Roth IRA;Franklin Adams;5133 Westside Freeway;Indianapolis;MD;NO01
26955;IRA;Ronald Fillmore;4602 Fontaine Road;Oklahoma City;IL;DA06
27023;Single;Bill McKinley;8400 Santa Rosa South;Raleigh;ME;PO01
27026;401K;Richard Reagan;6175 Cabrillo Highway;Montpelier;NY;PX01
27117;Roth IRA;Benjamin Lincoln;3357 San Luis Obispo North;Frankfort;OR;PX01
27224;Joint;Abraham Wilson;7046 East Fry Blvd.;Indianapolis;AR;AU05
27298;401K;Benjamin Jefferson;7518 Harry S Truman Blvd;Austin;NJ;CL07
27303;Roth IRA;Herbert Cleveland;4886 Santa Monica Road;Richmond;MS;DT01
27438;Single;Chester Nixon;187 Jones Road;Montpelier;OR;PO04
27488;Single;Zachary Roosevelt;8785 Richmond Hill;Montpelier;UT;AU01
27775;401K;Gerald Van Buren;6613 S Rustle St;Phoenix;NH;OK09
27787;Roth IRA;James Harding;1875 Fontaine Road;Jackson;AR;NV01
27797;401K;Theodore Jackson;4748 Erringer Road;Springfield;AR;DE07
27824;Single;John Lincoln;1586 Milpas Street;Salem;MD;NY08
27829;401K;Thomas Garfield;4831 Redwood Highway;Austin;OR;SE06
27920;Trust;Harry Polk;6485 San Simeon;Indianapolis;MS;VE03
27992;Single;Thomas Taft;8432 Steele Lane;Columbus;AK;DT06
28693;IRA;Richard Clinton;5651 North Broadway Street;Des Moines;VA;AU01
28697;Trust;Martin Polk;1511 San Simeon;Augusta;GA;SL01
28750;401K;Benjamin Monroe;5968 Tanger Blvd;Nashville;CA;LA04
28857;IRA;Herbert Adams;4471 East 1st Street;Charleston;MO;VE07
28935;IRA;Millard Harding;9230 Carpinteria Avenue;Salem;MI;SL01
29058;Single;George Lincoln;5594 Tanger Blvd;Augusta;ID;MI02
29068;Joint;Martin Roosevelt;8892 Via Real;Lincoln;NE;PX01
29076;401K;Andrew Wilson;4818 N Kentwood;Montgomery;OK;SL02
29228;IRA;James Jackson;8437 Bailard Avenue;Austin;RI;MN01
29247;Joint;Abraham Harrison;3193 French Camp Turnpike Road;Frankfort;KS;MD07
29268;Single;Chester Hoover;7780 Camelback Rd;Jackson;SC;SE02
29274;IRA;Warren Tyler;2694 Carpinteria Avenue;Nashville;NY;SL01
29303;IRA;Dwight Hayes;3319 Padre Boulevard;Albany;VT;LA01
29430;401K;Gerald Coolidge;4516 Woodson Rd.;Saint Paul;HI;LA01
29524;IRA;Jimmy Truman;9686 Katella Avenue;Juneau;MO;PO09
29527;Trust;Franklin Cleveland;2143 Fontaine Road;Bismarck;RI;AU04
29630;Roth IRA;Ronald McKinley;9131 Lindbergh Blvd;Hartford;MN;NV09
29707;Joint;Ulysses Harrison;66 San Diego Freeway;Springfield;VT;NV06
29747;Trust;Jimmy Kennedy;2548 Carpinteria North;Charleston;KS;MN06
29759;Trust;Calvin Hoover;9322 N Harrison St;Topeka;KS;PO01
29848;401K;Millard Cleveland;3720 Lawrenceville Suwanee;Carson City;MD;SE04
29930;401K;Chester Pierce;703 W. Russell St.;Frankfort;UT;PX01
29957;Trust;Herbert Nixon;6981 North Erringer Road;Columbus;PA;NY04
30042;Trust;Herbert Pierce;471 Lawrenceville Suwanee;Lansing;TX;DA06
30073;Roth IRA;Andrew Clinton;394 Via Real;Sacramento;SC;PX01
30155;IRA;John Jackson;269 N Kentwood;Lansing;PA;SL01
30204;Joint;Warren Taft;5468 W. Russell St.;Augusta;MT;BO01
30205;IRA;Rutherford Cleveland;7905 North Preisker Lane;Phoenix;HI;NY01
30464;Single;Chester Johnson;8294 Cabrillo Highway;Juneau;NY;NY01
30673;Roth IRA;Bill Polk;5912 Timberlane Drive;Richmond;HI;SL07
30985;Joint;Ulysses Grant;8899 Steele Lane;Boise;NV;PX02
31054;Joint;Chester Hoover;4609 Carpinteria Avenue;Baton Rouge;ND;PO05
31210;Roth IRA;Lyndon Roosevelt;8988 San Ysidro Blvd;Harrisburg;HI;PX02
31215;IRA;Woodrow Roosevelt;2784 Milpas Street;Oklahoma City;RI;IN03
31286;Roth IRA;Franklin Truman;5519 Cleveland Ave.;Harrisburg;TN;NY02
31308;Roth IRA;Jimmy Harrison;3072 W. Russell St.;Phoenix;DE;SL05
31385;Joint;Lyndon Harrison;4903 Richmond Hill;Santa Fe;CA;MD04
31404;401K;Zachary Pierce;4591 Cabrillo Highway;Honolulu;WI;CH05
31502;Joint;William Garfield;5803 Jean de la Fontaine;Atlanta;KS;DE01
31753;Trust;Woodrow Taft;4769 Lawrenceville Suwanee;Honolulu;ME;DE03
32137;401K;Zachary Truman;1002 Castillo Drive;Annapolis;MD;NY01
32598;401K;Rutherford Eisenhower;15 Westside Freeway;Trenton;AZ;SL02
32601;Joint;William Harrison;8561 Bowles Avenue;Jackson;ND;NV04
32604;401K;Richard Wilson;3750 Camelback Rd;Richmond;NJ;CL01
32858;Roth IRA;Bill Harding;9039 Tully Road East;Tallahassee;PA;PX06
32995;Trust;Abraham Carter;4237 Cerrillos Road;Cheyenne;NV;NV02
33116;Roth IRA;Lyndon Madison;1719 Santa Rosa North;Baton Rouge;MI;VE05
33162;Single;Rutherford Ford;8995 North Atherton Street;Lincoln;KS;IN02
33252;Joint;Rutherford Wilson;3243 Tanger Blvd;Carson City;NJ;LA01
33513;Joint;Franklin Coolidge;4931 Woodson Rd.;Phoenix;WV;PO01
33543;IRA;Grover Harrison;3373 North Erringer Road;Pierre;SD;MN09
33658;401K;Calvin Polk;279 Apalachee Parkway;Lansing;VA;BO04
33670;Roth IRA;Ulysses Cleveland;7929 Richmond Hill;Santa Fe;DE;MD01
34108;Roth IRA;Chester Eisenhower;2632 El Camino Real;Columbia;IN;NO05
34197;Single;Theodore Jefferson;584 Harry S Truman Blvd;Olympia;OH;OK06
34214;401K;William Cleveland;3348 East Fry Blvd.;Springfield;KS;LA01
34248;IRA;George Washington;3101 Fontaine Road;Sacramento;ME;CH01
34404;IRA;Franklin Fillmore;2854 Moreno Drive;Honolulu;TX;PX03
34605;IRA;Grover Reagan;3548 South Roosevelt Drive;Trenton;NY;MD08
34645;Trust;Ulysses Polk;1304 N Harrison St;Concord;SD;MD01
34711;IRA;Bill Quincy;3951 Cabrillo Highway;Madison;MT;CL01
34898;Roth IRA;Grover Wilson;9323 E Fowler Avenue;Jackson;TN;CL07
34929;Roth IRA;Gerald Hayes;3292 N Kentwood;Hartford;ND;MD06
35008;Joint;James Garfield;5855 Jones Road;Lincoln;ID;SL01
35020;Joint;Dwight Wilson;2652 Milpas Street;Frankfort;HI;LA01
35047;Single;Woodrow Fillmore;4285 South Roosevelt Drive;Atlanta;NY;CH08
35056;401K;William Wilson;7214 Jones Road;Juneau;AR;SL01
35085;401K;Bill Taft;9739 N Kentwood;Trenton;LA;DE01
35160;Trust;Jimmy Kennedy;1204 Woodson Rd.;Boston;VT;SL01
35231;401K;Herbert Grant;2010 Cleveland Ave.;Frankfort;KY;SL01
35309;401K;George Clinton;7941 Pacific Hwy S;Saint Paul;NY;BO04
35366;Single;Dwight Hoover;5635 Westside Freeway;Charleston;OR;VE04
35661;IRA;Abraham Roosevelt;7873 Harbor Dr;Phoenix;MI;LA02
35692;401K;Ulysses Eisenhower;7882 East Calle Primera;Helena;WI;AU09
35717;Trust;Calvin Fillmore;828 Bailard Avenue;Austin;ME;AU05
35750;IRA;Rutherford Taft;210 East Fry Blvd.;Raleigh;AL;LA01
35753;Roth IRA;Andrew Clinton;5601 Westside Freeway;Phoenix;OK;PO09
35831;Single;Benjamin Johnson;6649 Carpinteria Avenue;Atlanta;OR;NV08
35850;Roth IRA;Rutherford Roosevelt;358 Castillo Drive;Lincoln;TX;DA02
35909;Roth IRA;Martin Nixon;8178 San Ysidro Blvd;Richmond;NV;DA01
